Red,X,Y,Z,x,y
16,0.4457,0.1457,2.6277,0.1385,0.0453
15,0.3662,0.1196,2.1568,0.1386,0.0452
14,0.3008,0.0986,1.7728,0.1385,0.0454
13,0.2502,0.0818,1.4701,0.1388,0.0454
12,0.2143,0.0703,1.2604,0.1387,0.0455
11,0.1697,0.0559,0.997,0.1388,0.0457
10,0.1399,0.046,0.8195,0.1392,0.0457
9,0.1083,0.0356,0.6342,0.1392,0.0458
8,0.0945,0.0312,0.5531,0.1393,0.046
7,0.0012,0.001,0.0035,0.2128,0.1696
6,0.0008,0.0008,0.0009,0.3166,0.3228
5,0.0008,0.0008,0.0009,0.316,0.3176
4,0.0008,0.0008,0.0009,0.3148,0.3087
3,0.0007,0.0008,0.0009,0.3031,0.3245
2,0.0008,0.0008,0.0008,0.337,0.3328
1,0.0007,0.0008,0.0009,0.3043,0.3247
0,0.0008,0.0008,0.001,0.299,0.3158
