Red,X,Y,Z,x,y
60,0.0564,0.1679,0.0095,0.2411,0.7182
59,0.0412,0.1228,0.0071,0.2409,0.7175
58,0.0274,0.0816,0.0047,0.2409,0.7178
57,0.0153,0.0452,0.0026,0.2418,0.7166
56,0.0069,0.0204,0.0013,0.242,0.712
55,0.0027,0.0077,0.0006,0.2423,0.7012
54,0.0011,0.003,0.0003,0.242,0.6942
53,0.0005,0.0014,0.0002,0.2477,0.6419
52,0.0003,0.0006,0.0002,0.2445,0.5937
51,0.0001,0.0003,0.0002,0.185,0.5037
50,0.0001,0.0001,0.0002,0.1659,0.3364
49,0.0001,0.0001,0.0002,0.3615,0.19
48,0.0001,0.0001,0.0001,0.2226,0.2336
47,0,0,0.0001,0.201,0.1443
46,0.0001,0.0001,0.0002,0.2254,0.2113
45,0,0,0,0.6216,0.5405
44,0.0001,0.0001,0.0002,0.2577,0.1924
43,0.0001,0.0001,0.0002,0.1701,0.1769
42,0,0,0.0002,0.1048,0.1048
41,0,0,0.0002,0.1451,0.1136
40,0.0001,0,0.0001,0.25,0.193
39,0.0001,0,0.0002,0.245,0.1124
38,0.0001,0,0.0002,0.2304,0.0739
37,0.0001,0,0.0001,0.2824,0.1296
36,0,0,0.0002,0.1688,0.1385
35,0,0,0.0001,0.1435,0.1667
34,0,0,0.0001,0.3241,0.1944
33,0.0001,0,0.0001,0.2345,0.1062
32,0.0001,0.0001,0.0002,0.2208,0.2597
31,0.0001,0,0.0002,0.2236,0.1013
30,0,0,0.0002,0.1241,0.156
29,0.0001,0.0001,0.0002,0.1761,0.186
28,0,0,0.0001,0.2364,0.0545
27,0.0001,0,0,0.5,0.3437
26,0.0001,0,0.0001,0.3596,0.2247
25,0,0,0.0001,-0.0105,0.4632
24,0.0001,0,0.0001,0.2465,0.0605
23,0,0,0,0.7,0.15
22,0,0,0.0001,0.202,0.0505
21,0.0001,0,0.0001,0.2436,0.1197
20,0,0,0.0001,0.2745,0.0327
19,0.0001,0,0,0.6224,0.1735
18,0,0,0.0001,0.2632,-0.1429
17,0,0,0.0001,0.1429,0.2571
16,0.0001,0.0001,0.0001,0.2733,0.2667
15,0.0001,0,0.0002,0.2698,0.0952
14,0,0,0.0001,0.1535,0.2178
13,0,0,0.0001,0.1483,0.1914
12,0,0,0.0001,0.2176,0.0674
11,0.0001,0,0.0001,0.3961,0.0584
10,0.0001,0,0,2.1786,0.0357
9,0.0001,0,0.0001,0.2819,0.1586
8,0.0001,0,0.0001,0.4183,0.0327
7,0,0.0001,0.0002,0.1261,0.1682
6,0.0001,0,0.0002,0.2125,0.0907
5,0.0001,0,0.0001,0.2825,0.1186
4,0.0001,0,0.0001,0.4595,0.1892
3,0,0,0.0002,0.1367,0.1562
2,0,0,0.0001,0.122,0.1037
1,0,0,0.0001,0.2659,-0.0636
0,0.0001,0,0.0002,0.2165,0.0909
Blue,X,Y,Z,x,y
255,146.9615,41.1323,863.2454,0.1398,0.0391
254,148.9009,41.655,874.6683,0.1398,0.0391
253,148.3761,41.5082,871.5472,0.1398,0.0391
252,148.2852,41.4841,871.0163,0.1398,0.0391
251,148.3763,41.5083,871.5813,0.1398,0.0391
250,146.1575,40.9156,858.526,0.1398,0.0391
249,145.8981,40.8407,857.0648,0.1398,0.0391
248,143.9087,40.3009,845.372,0.1398,0.0391
247,142.0453,39.7924,834.5347,0.1398,0.0392
246,139.9067,39.2095,821.9277,0.1398,0.0392
245,137.8466,38.6528,809.8496,0.1398,0.0392
244,135.7917,38.0963,797.8486,0.1397,0.0392
243,134.2811,37.6817,789.044,0.1397,0.0392
242,131.9074,37.0335,775.1324,0.1397,0.0392
241,129.9468,36.4961,763.6424,0.1397,0.0392
240,128.2245,36.0358,753.5997,0.1397,0.0393
239,126.3509,35.5179,742.6313,0.1397,0.0393
238,124.4862,35.012,731.6556,0.1397,0.0393
237,122.496,34.4624,719.9644,0.1397,0.0393
236,120.5281,33.9253,708.4452,0.1397,0.0393
235,118.9492,33.501,699.2631,0.1397,0.0393
234,117.013,32.9661,687.8917,0.1397,0.0393
233,115.4394,32.5372,678.6954,0.1396,0.0394
232,113.4286,31.9783,666.8176,0.1397,0.0394
231,111.9052,31.5709,658.0227,0.1396,0.0394
230,109.9294,31.0288,646.3381,0.1396,0.0394
229,108.1674,30.5444,636.0746,0.1396,0.0394
228,106.4678,30.0721,626.0877,0.1396,0.0394
227,104.9312,29.6527,617.0454,0.1396,0.0395
226,103.1815,29.1734,606.8215,0.1396,0.0395
225,101.6118,28.7395,597.6612,0.1396,0.0395
224,99.7821,28.2336,586.8865,0.1396,0.0395
223,98.2526,27.8167,577.9053,0.1396,0.0395
222,96.6408,27.3733,568.4511,0.1396,0.0395
221,95.0236,26.9252,558.9649,0.1396,0.0395
220,93.3369,26.4625,549.1002,0.1395,0.0396
219,91.9437,26.0816,540.9698,0.1395,0.0396
218,90.194,25.5902,530.6874,0.1395,0.0396
217,88.7535,25.1927,522.1674,0.1395,0.0396
216,87.3359,24.8022,513.893,0.1395,0.0396
215,85.7111,24.3564,504.3294,0.1395,0.0396
214,84.1133,23.9106,494.9838,0.1395,0.0397
213,82.6262,23.4987,486.2468,0.1395,0.0397
212,81.3305,23.1395,478.6602,0.1395,0.0397
211,79.7814,22.7083,469.5439,0.1395,0.0397
210,78.4282,22.3298,461.6243,0.1395,0.0397
209,76.8594,21.901,452.3716,0.1395,0.0397
208,75.4694,21.5107,444.2088,0.1395,0.0397
207,74.201,21.159,436.7904,0.1394,0.0398
206,72.8211,20.7781,428.6996,0.1394,0.0398
205,71.4204,20.3854,420.4929,0.1394,0.0398
204,69.8889,19.959,411.4873,0.1394,0.0398
203,68.6174,19.607,403.9983,0.1394,0.0398
202,67.2211,19.212,395.8373,0.1394,0.0398
201,66.0206,18.8803,388.7617,0.1394,0.0399
200,64.6967,18.5116,380.9761,0.1394,0.0399
199,63.4302,18.1526,373.5301,0.1394,0.0399
198,62.166,17.8008,366.0907,0.1394,0.0399
197,60.8244,17.4249,358.2398,0.1393,0.0399
196,59.6309,17.0948,351.2249,0.1393,0.0399
195,58.3733,16.7357,343.8247,0.1393,0.0399
194,57.2771,16.4297,337.3977,0.1393,0.04
193,56.0261,16.0803,330.0105,0.1393,0.04
192,54.837,15.7478,323.0349,0.1393,0.04
191,53.7938,15.4539,316.9083,0.1393,0.04
190,52.8898,15.196,311.5916,0.1393,0.04
189,51.7825,14.8876,305.1189,0.1393,0.04
188,50.9404,14.6491,300.1353,0.1393,0.0401
187,49.9481,14.372,294.3092,0.1393,0.0401
186,49.1303,14.1407,289.4889,0.1393,0.0401
185,48.2529,13.8949,284.3225,0.1393,0.0401
184,47.4307,13.6636,279.5283,0.1392,0.0401
183,46.5665,13.4154,274.4076,0.1393,0.0401
182,45.7465,13.1889,269.6331,0.1392,0.0401
181,44.8226,12.9238,264.1662,0.1392,0.0401
180,44.0822,12.7142,259.7966,0.1392,0.0402
179,43.2578,12.4829,254.9632,0.1392,0.0402
178,42.513,12.2708,250.5806,0.1392,0.0402
177,41.6576,12.0275,245.5383,0.1392,0.0402
176,40.8553,11.8034,240.829,0.1392,0.0402
175,40.1216,11.5937,236.5378,0.1392,0.0402
174,39.3347,11.3697,231.8808,0.1392,0.0402
173,38.5214,11.1432,227.1063,0.1392,0.0403
172,37.7765,10.9287,222.7171,0.1392,0.0403
171,37.0516,10.7239,218.452,0.1392,0.0403
170,36.2913,10.5046,213.9583,0.1392,0.0403
169,35.6415,10.3263,210.157,0.1392,0.0403
168,34.8591,10.0998,205.5522,0.1392,0.0403
167,34.1761,9.9071,201.5288,0.1391,0.0403
166,33.4932,9.7119,197.4988,0.1391,0.0403
165,32.8191,9.5191,193.5277,0.1391,0.0404
164,32.1008,9.3095,189.3018,0.1391,0.0404
163,31.4311,9.1239,185.3633,0.1391,0.0404
162,30.8012,8.948,181.6795,0.1391,0.0404
161,30.1271,8.7505,177.6822,0.1391,0.0404
160,29.4375,8.5577,173.6392,0.1391,0.0404
159,28.8673,8.3914,170.282,0.1391,0.0404
158,28.2176,8.2059,166.4487,0.1391,0.0404
157,27.5768,8.0204,162.6743,0.1391,0.0405
156,26.978,7.8494,159.1416,0.1391,0.0405
155,26.3703,7.6759,155.55,0.1391,0.0405
154,25.7604,7.5,151.9715,0.1391,0.0405
153,25.208,7.3434,148.6999,0.1391,0.0405
152,24.5871,7.1676,145.0692,0.139,0.0405
151,24.0545,7.011,141.9217,0.1391,0.0405
150,23.4535,6.8375,138.3759,0.1391,0.0405
149,22.9541,6.6954,135.4439,0.139,0.0406
148,22.3663,6.5291,131.9764,0.139,0.0406
147,21.8713,6.3846,129.0509,0.139,0.0406
146,21.3498,6.2352,125.9883,0.139,0.0406
145,20.8283,6.0834,122.9322,0.139,0.0406
144,20.2847,5.9317,119.6868,0.139,0.0407
143,19.8163,5.7919,116.9376,0.139,0.0406
142,19.297,5.645,113.9011,0.139,0.0407
141,18.8064,5.5004,110.9887,0.139,0.0407
140,18.3203,5.3631,108.122,0.139,0.0407
139,17.8739,5.233,105.5034,0.139,0.0407
138,17.3856,5.0909,102.6106,0.139,0.0407
137,16.9613,4.968,100.1292,0.139,0.0407
136,16.5039,4.8379,97.4126,0.139,0.0407
135,16.0443,4.703,94.7157,0.139,0.0407
134,15.6465,4.5897,92.3649,0.139,0.0408
133,15.1957,4.4572,89.7006,0.139,0.0408
132,14.7936,4.3392,87.3433,0.1389,0.0408
131,14.3693,4.2187,84.8226,0.139,0.0408
130,13.9804,4.1066,82.5399,0.1389,0.0408
129,13.5882,3.991,80.2316,0.1389,0.0408
128,13.1573,3.8669,77.6882,0.1389,0.0408
127,12.7264,3.7404,75.1546,0.1389,0.0408
126,12.2248,3.5959,72.1803,0.1389,0.0409
125,11.6702,3.4357,68.9284,0.1389,0.0409
124,11.0393,3.2514,65.2031,0.1389,0.0409
